,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
295,296,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,100,4.682
296,297,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,100,6.621
297,298,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,100,4.934
298,299,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,100,6.443
299,300,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,100,7.745
300,301,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,10,3.0
301,302,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,10,3.0
302,303,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,10,3.0
303,304,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,10,3.0
304,305,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,10,3.0
305,306,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,10,3.0
306,307,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,10,3.0
307,308,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,10,3.0
308,309,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,10,3.0
309,310,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,10,3.0
310,311,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,10,3.0
311,312,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,10,3.0
312,313,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,10,3.0
313,314,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,10,3.0
314,315,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,10,3.0
315,316,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,10,3.0
316,317,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,10,3.0
317,318,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,10,3.0
318,319,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,10,3.0
319,320,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,10,3.0
