,P_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
454,1,12.515,0,8,50,80,100
455,1,12.515,0,12,50,80,100
456,1,12.515,0,4,10,20,100
457,1,12.515,0,8,10,20,100
458,1,12.515,0,12,10,20,100
459,1,12.515,0,4,10,40,100
460,1,12.515,0,8,10,40,100
461,1,12.515,0,12,10,40,100
462,1,12.515,0,4,10,60,100
463,1,12.515,0,8,10,60,100
464,1,12.515,0,12,10,60,100
465,1,12.515,0,4,10,80,100
466,1,12.515,0,8,10,80,100
467,1,12.515,0,12,10,80,100
468,1,12.515,0,4,1,20,100
469,1,12.515,0,8,1,20,100
470,1,12.515,0,12,1,20,100
471,1,12.515,0,4,1,40,100
472,1,12.515,0,8,1,40,100
473,1,12.515,0,12,1,40,100
474,1,12.515,0,4,1,60,100
475,1,12.515,0,8,1,60,100
476,1,12.515,0,12,1,60,100
477,1,12.515,0,4,1,80,100
478,1,12.515,0,8,1,80,100
479,1,12.515,0,12,1,80,100
480,1,12.515,0,4,200,20,10
481,1,12.515,0,8,200,20,10
482,1,12.515,0,12,200,20,10
483,1,12.515,0,4,200,40,10
484,1,12.515,0,8,200,40,10
485,1,12.515,0,12,200,40,10
486,1,12.515,0,4,200,60,10
487,1,12.515,0,8,200,60,10
488,1,12.515,0,12,200,60,10
489,1,12.515,0,4,200,80,10
490,1,12.515,0,8,200,80,10
491,1,12.515,0,12,200,80,10
492,1,12.515,0,4,100,20,10
493,1,12.515,0,8,100,20,10
494,1,12.515,0,12,100,20,10
495,1,12.515,0,4,100,40,10
496,1,12.515,0,8,100,40,10
497,1,12.515,0,12,100,40,10
498,1,12.515,0,4,100,60,10
499,1,12.515,0,8,100,60,10
500,1,12.515,0,12,100,60,10
501,1,12.515,0,4,100,80,10
502,1,12.515,0,8,100,80,10
503,1,12.515,0,12,100,80,10
504,1,12.515,0,4,50,20,10
505,1,12.515,0,8,50,20,10
506,1,12.515,0,12,50,20,10
507,1,12.515,0,4,50,40,10
508,1,12.515,0,8,50,40,10
509,1,12.515,0,12,50,40,10
510,1,12.515,0,4,50,60,10
511,1,12.515,0,8,50,60,10
512,1,12.515,0,12,50,60,10
513,1,12.515,0,4,50,80,10
514,1,12.515,0,8,50,80,10
515,1,12.515,0,12,50,80,10
516,1,12.515,0,4,10,20,10
517,1,12.515,0,8,10,20,10
518,1,12.515,0,12,10,20,10
519,1,12.515,0,4,10,40,10
520,1,12.515,0,8,10,40,10
521,1,12.515,0,12,10,40,10
522,1,12.515,0,4,10,60,10
523,1,12.515,0,8,10,60,10
524,1,12.515,0,12,10,60,10
525,1,12.515,0,4,10,80,10
526,1,12.515,0,8,10,80,10
527,1,12.515,0,12,10,80,10
