,RF,LGBM,XGB,DT,kNN,lasso,PLS,MLR
559,0.012301380842218879,0.014794649969532891,0.2985578178203146,0.3198735450495762,0.028552953010490018,0.024369874311882922,0.2985410799470237,0.2990877417777348
560,0.01114825151158394,0.028801970582355618,0.012797299618864222,0.0,0.15680413852565034,0.14309647375269485,0.06924179515377782,0.06976310775222405
561,9.480641362830111e-05,0.019635865204211622,0.029677051897192164,0.03552953010490015,0.011424055180342008,0.04596367640529436,0.0832185625531777,0.08352020632780416
562,0.16680240993150103,0.01758554734895762,0.00034136713013632747,0.03552953010490015,0.2888777123149877,0.035684045795998875,0.07452330573059002,0.0740401710454007
563,0.0010133213252544737,0.0027716726285616222,0.0026651209546567634,0.0,0.06508118982612449,0.03295212067433012,0.0742132989987839,0.07560876768352395
564,0.005873664630103165,0.021475936551848596,0.1549127697944641,0.14154332519040091,0.32266130191119424,0.39953362545283055,0.22513958229209485,0.22630916065603573
565,0.005371663136921251,0.028099167768647237,0.09379466469216952,0.08650668199453942,0.5118407817215117,0.6069936308498268,0.17715585827056443,0.17808097781878415
566,0.08909586065448946,0.15369268204763975,0.02155514418616311,0.00338718617206904,0.5131771806294008,0.6598698105933598,0.10541695897053832,0.10559485451747905
567,0.015973153186065125,0.016353028227425875,0.1906630911113955,0.16884609857738175,0.029458255496479374,0.03470590458826528,0.1086241901743345,0.10948394821913149
568,0.0701165241395878,0.06824062870227576,0.16809893493372097,0.2103511040858361,0.017919241270297467,0.04093031810856673,0.21421944545851201,0.21401023225965277
569,0.15786247325461855,0.01380544166551323,0.3420172567480786,0.3059587105427026,0.02087943670067538,0.04746244314414594,0.27649612259934625,0.2773987540989316
570,0.0051943247793543035,0.031620534444656484,0.060672922789802186,0.18127604540882314,2.7755575615628914e-17,0.042941163480694655,0.36413304525249857,0.36401807773904155
571,0.06612092960025326,0.08235544239088122,0.218451214583548,0.23617925399790607,0.1323466015232073,0.19146648761599178,0.6321919981014181,0.6323888197099304
572,0.006233956191582596,0.03567845965853697,0.0014711952163221076,0.017157637591607988,0.018465296738037096,0.0038392679354297687,0.003377920761790665,0.004890650409777736
573,0.07260443522318144,0.07647877878731763,0.005786452288770838,0.017157637591607988,0.024917373185802533,0.04787335502629675,0.025655200402248113,0.025403483128166898
574,0.0017590446194002407,0.004012063413177336,0.012901108865594701,0.017157637591607988,0.13948843224601237,0.04690493717114397,0.07551473093565458,0.07554247120774657
575,0.022991211793208316,0.04111520113459702,0.013514172439431982,0.022057766920534558,0.14106911912631126,0.21773925519248183,0.08022017161523981,0.07978745360115802
576,0.17021835060386775,0.24737572028459104,0.017011474971628027,0.00338718617206904,0.018738324471906903,0.08028006936545151,0.007314266918783369,0.007694241510575961
577,0.15392147627902608,0.07063030856052821,0.039167601461553736,0.10272069741821141,0.016036786894668753,0.06767340747970901,0.12314291396273674,0.12248717395502684
578,0.025618164775183125,0.031026839848240617,0.33334611409147985,0.3683958423145087,0.016036786894668753,0.1715844747474899,0.23797169036920351,0.23907227828151817
579,0.003724679731622882,0.01025821039384242,0.1961469256958412,0.2334387124586867,0.08077309958327344,0.15379004636329563,0.03270925784391088,0.033581511085923665
580,0.0014249652987085581,0.0437551114093669,0.12764245527351464,0.15497916367294157,0.21632418450926855,0.15219246678123227,0.041314641618861836,0.04199165867464999
581,0.35587258910917186,0.3323143922777201,0.10730301116300495,0.1308776803819195,0.5917804282224458,0.4420497102011028,0.06711628653494622,0.06624610848574106
582,0.4155723261396763,0.5887070841398542,0.12899759684396656,0.1308776803819195,0.48744072424198875,0.4496854196267302,0.03373249264682893,0.033018431842861434
