Formula label,Helper_lipid,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_HEK293
218,DOPE,0,0,1,0,0,0,465.9333333,0.358,-1.686666667,8,0.199600798,20,9.090909091,9.601
219,DOPE,0,0,1,0,0,0,599.5333333,0.522,-0.166206667,12,0.199600798,20,9.090909091,9.45
220,DOPE,0,0,1,0,0,0,197.5666667,0.262666667,-2.53,4,0.199600798,40,9.090909091,4.311
221,DOPE,0,0,1,0,0,0,199.4,0.327666667,2.476666667,8,0.199600798,40,9.090909091,9.355
222,DOPE,0,0,1,0,0,0,208.5,0.330666667,1.541666667,12,0.199600798,40,9.090909091,9.103
223,DOPE,0,0,1,0,0,0,193.9,0.197333333,-1.64,4,0.199600798,60,9.090909091,10.343
224,DOPE,0,0,1,0,0,0,159.3,0.201,2.77,8,0.199600798,60,9.090909091,11.127
225,DOPE,0,0,1,0,0,0,190.9666667,0.275,2.354,12,0.199600798,60,9.090909091,11.116
226,DOPE,0,0,1,0,0,0,166.8666667,0.266,-26.83333333,4,0.199600798,80,9.090909091,5.938
227,DOPE,0,0,1,0,0,0,146.8666667,0.208666667,5.42,8,0.199600798,80,9.090909091,8.322
228,DOPE,0,0,1,0,0,0,167.8,0.237,7.203333333,12,0.199600798,80,9.090909091,11.211
229,DOPE,0,0,1,0,0,0,287.7333333,0.327,2.916666667,4,0.199600798,20,50.0,10.31
230,DOPE,0,0,1,0,0,0,306.5333333,0.569,3.96,8,0.199600798,20,50.0,10.555
231,DOPE,0,0,1,0,0,0,473.2,0.17,5.006666667,12,0.199600798,20,50.0,9.917
232,DOPE,0,0,1,0,0,0,261.7,0.330333333,4.206666667,4,0.199600798,40,50.0,4.135
233,DOPE,0,0,1,0,0,0,205.1,0.196,4.25,8,0.199600798,40,50.0,11.156
234,DOPE,0,0,1,0,0,0,177.9333333,0.268,2.72,12,0.199600798,40,50.0,10.878
235,DOPE,0,0,1,0,0,0,224.5,0.256333333,4.343333333,4,0.199600798,60,50.0,12.159
236,DOPE,0,0,1,0,0,0,195.0333333,0.254,5.876666667,8,0.199600798,60,50.0,11.252
237,DOPE,0,0,1,0,0,0,179.0333333,0.261666667,6.29,12,0.199600798,60,50.0,11.954
238,DOPE,0,0,1,0,0,0,237.6333333,0.301,6.303333333,4,0.199600798,80,50.0,11.362
239,DOPE,0,0,1,0,0,0,164.9666667,0.183666667,11.93333333,8,0.199600798,80,50.0,11.657
240,DOPE,0,0,1,0,0,0,171.5333333,0.187333333,8.72,12,0.199600798,80,50.0,10.701
241,DOPE,0,0,1,0,0,0,177.0333333,0.31,-4.186666667,4,0.99009901,20,0.497512438,8.327
242,DOPE,0,0,1,0,0,0,223.4,0.485666667,-2.646666667,8,0.99009901,20,0.497512438,8.342
243,DOPE,0,0,1,0,0,0,169.1333333,0.368333333,-2.373333333,12,0.99009901,20,0.497512438,8.745
244,DOPE,0,0,1,0,0,0,193.5,0.275333333,-1.616666667,4,0.99009901,40,0.497512438,2.565
