,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI
361,1,0,12.515,0,4,36,2,8,200,20,500,138.8333333,0.375666667
362,1,0,12.515,0,4,36,2,12,200,20,500,235.9333333,0.509333333
363,1,0,12.515,0,4,36,2,4,200,40,500,175.8333333,0.266333333
364,1,0,12.515,0,4,36,2,8,200,40,500,172.5333333,0.298333333
365,1,0,12.515,0,4,36,2,12,200,40,500,173.3,0.307666667
366,1,0,12.515,0,4,36,2,4,200,60,500,222.7333333,0.28
367,1,0,12.515,0,4,36,2,8,200,60,500,163.4666667,0.289666667
368,1,0,12.515,0,4,36,2,12,200,60,500,132.7666667,0.248666667
369,1,0,12.515,0,4,36,2,4,200,80,500,172.6333333,0.228666667
370,1,0,12.515,0,4,36,2,8,200,80,500,156.5,0.215666667
371,1,0,12.515,0,4,36,2,12,200,80,500,415.4333333,0.464333333
372,1,0,12.515,0,4,36,2,4,100,20,500,126.4666667,0.141666667
373,1,0,12.515,0,4,36,2,8,100,20,500,173.0,0.266666667
