,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_PC3
154,335,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,10,134.7,-36.66666667,1.386
155,336,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,10,135.2333333,-2.383333333,2.079
156,337,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,10,235.4666667,-9.563333333,1.099
157,338,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,10,378.9333333,-5.376666667,0.693
158,339,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,10,476.3333333,-7.476666667,1.386
159,340,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,10,132.7666667,-5.483333333,1.099
160,341,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,10,279.9666667,-2.596666667,1.386
161,342,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,10,153.0,-1.983333333,1.946
162,343,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,10,156.7333333,-3.656666667,0.693
163,344,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,10,134.0666667,-1.370333333,1.386
164,345,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,10,167.5,-2.37,2.708
165,346,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,10,144.4333333,-4.92,1.099
166,347,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,10,161.1333333,-31.9,1.792
167,348,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,10,118.1666667,-2.056666667,2.197
168,349,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,10,302.6666667,-8.333333333,1.099
169,350,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,10,270.0333333,-7.673333333,0.693
170,351,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,10,180.3,-9.613333333,1.609
171,352,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,10,157.5,-3.126666667,0.693
172,353,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,10,140.4666667,-1.383333333,1.792
173,354,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,10,228.2,-1.873333333,3.219
174,355,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,10,153.2,-2.37,1.099
175,356,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,10,129.7666667,-1.059,0.693
176,357,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,10,145.7333333,-1.533333333,1.946
177,358,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,10,165.1666667,-3.313333333,1.099
178,359,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,10,157.6666667,15.6,1.386
179,360,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,10,140.5666667,-1.012333333,3.807
180,361,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,20,500,157.3333333,5.9,2.079
181,362,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,500,138.8333333,5.12,2.079
182,363,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,500,235.9333333,5.646666667,1.386
183,364,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,40,500,175.8333333,12.9,2.89
184,365,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,40,500,172.5333333,1.866666667,3.178
185,366,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,40,500,173.3,6.673333333,1.792
186,367,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,60,500,222.7333333,16.2,1.946
187,368,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,60,500,163.4666667,13.33333333,1.946
188,369,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,500,132.7666667,15.63333333,1.946
189,370,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,500,172.6333333,-10.96666667,2.833
190,371,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,500,156.5,5.703333333,1.946
191,372,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,80,500,415.4333333,-30.56666667,1.386
192,373,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,20,500,126.4666667,1.823,1.386
193,374,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,20,500,173.0,7.926666667,1.609
194,375,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,20,500,198.5333333,2.883333333,1.386
195,376,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,40,500,185.6666667,12.1,2.398
196,377,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,40,500,160.6,4.013333333,2.197
197,378,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,40,500,183.8333333,2.956666667,1.946
198,379,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,60,500,224.0,22.76666667,1.946
199,380,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,60,500,147.6666667,9.33,1.386
200,381,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,60,500,146.4333333,19.53333333,1.946
201,382,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,80,500,170.8666667,7.633333333,1.946
202,383,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,500,136.8333333,7.98,2.485
203,384,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,500,290.3,-25.13333333,1.386
204,385,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,20,500,122.2,18.9,1.792
205,386,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,500,176.0666667,21.16666667,2.303
206,387,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,500,186.9666667,2.883333333,2.303
207,388,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,40,500,153.4666667,17.63333333,2.773
208,389,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,40,500,204.5333333,0.663333333,4.025
209,390,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,40,500,177.8333333,3.57,2.197
210,391,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,60,500,193.0,24.03333333,1.792
211,392,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,60,500,155.2333333,9.956666667,2.565
212,393,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,500,133.8333333,18.63333333,1.946
213,394,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,500,204.0333333,6.13,1.792
214,395,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,500,118.1,9.33,2.079
215,396,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,80,500,1330.666667,-27.3,1.099
216,397,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,20,500,105.7,44.06666667,1.946
217,398,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,500,131.2333333,25.86666667,1.946
218,399,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,500,241.2,1.388333333,4.771
219,400,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,40,500,204.4333333,26.16666667,2.89
220,401,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,40,500,135.9,27.06666667,5.03
221,402,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,40,500,199.2666667,22.36666667,5.869
222,403,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,60,500,157.6333333,30.7,3.85
223,404,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,60,500,133.6333333,15.33333333,5.375
224,405,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,60,500,139.3666667,20.86666667,7.223
225,406,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,80,500,138.7666667,15.56666667,5.724
226,407,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,80,500,143.8333333,18.4,5.609
227,408,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,80,500,581.7333333,-31.76666667,4.89
228,409,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,20,500,137.3,19.9,8.401
229,410,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,20,500,899.4,16.3,7.697
230,411,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,20,500,158.2333333,12.23333333,5.631
231,412,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,40,500,214.0333333,5.41,10.452
232,413,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,40,500,173.5,22.13333333,6.133
