Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,18PG,DOPE,DSPC,DOTAP,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_ARPE19
109,18PG,0,1,8.8188,3,10,1,1,0,0,0,237.7333333,0.221,-6.72,4,0.99009901,20,50.0,1.5
110,18PG,0,1,8.8188,3,10,1,1,0,0,0,154.0666667,0.200333333,-5.936666667,8,0.99009901,20,50.0,1.5
111,18PG,0,1,8.8188,3,10,1,1,0,0,0,185.1,0.109,-3.736666667,12,0.99009901,20,50.0,1.609
112,18PG,0,1,8.8188,3,10,1,1,0,0,0,196.1666667,0.203333333,-7.57,4,0.99009901,40,50.0,1.5
113,18PG,0,1,8.8188,3,10,1,1,0,0,0,298.0333333,0.1,-4.593333333,8,0.99009901,40,50.0,1.5
114,18PG,0,1,8.8188,3,10,1,1,0,0,0,189.2333333,0.111,-1.266666667,12,0.99009901,40,50.0,1.792
115,18PG,0,1,8.8188,3,10,1,1,0,0,0,241.5,0.106333333,-16.4,4,0.99009901,60,50.0,1.609
116,18PG,0,1,8.8188,3,10,1,1,0,0,0,249.8,0.209,-1.483333333,8,0.99009901,60,50.0,1.5
117,18PG,0,1,8.8188,3,10,1,1,0,0,0,346.5,0.061666667,-0.622,12,0.99009901,60,50.0,1.792
118,18PG,0,1,8.8188,3,10,1,1,0,0,0,364.1333333,0.201,-8.473333333,4,0.99009901,80,50.0,1.5
119,18PG,0,1,8.8188,3,10,1,1,0,0,0,812.3666667,0.132666667,-5.833333333,8,0.99009901,80,50.0,1.5
120,18PG,0,1,8.8188,3,10,1,1,0,0,0,409.6,0.290333333,-6.46,12,0.99009901,80,50.0,1.5
121,18PG,0,1,8.8188,3,10,1,1,0,0,0,113.3,0.238333333,-1.485333333,4,9.090909091,20,0.497512438,1.792
122,18PG,0,1,8.8188,3,10,1,1,0,0,0,179.0666667,0.428333333,-0.415666667,8,9.090909091,20,0.497512438,2.079
123,18PG,0,1,8.8188,3,10,1,1,0,0,0,1512.333333,0.599333333,-2.8,12,9.090909091,20,0.497512438,1.5
124,18PG,0,1,8.8188,3,10,1,1,0,0,0,108.3166667,0.307333333,-1.42,4,9.090909091,40,0.497512438,2.485
125,18PG,0,1,8.8188,3,10,1,1,0,0,0,153.9,0.435666667,-0.845333333,8,9.090909091,40,0.497512438,1.946
126,18PG,0,1,8.8188,3,10,1,1,0,0,0,120.1,0.400666667,-1.69,12,9.090909091,40,0.497512438,1.609
127,18PG,0,1,8.8188,3,10,1,1,0,0,0,166.4,0.504,-3.313333333,4,9.090909091,60,0.497512438,1.609
128,18PG,0,1,8.8188,3,10,1,1,0,0,0,192.9,0.356666667,-1.398,8,9.090909091,60,0.497512438,2.833
129,18PG,0,1,8.8188,3,10,1,1,0,0,0,260.3666667,0.331,-0.940666667,12,9.090909091,60,0.497512438,3.045
130,18PG,0,1,8.8188,3,10,1,1,0,0,0,230.6333333,0.313333333,8.696666667,4,9.090909091,80,0.497512438,1.946
131,18PG,0,1,8.8188,3,10,1,1,0,0,0,237.4,0.258666667,-0.939,8,9.090909091,80,0.497512438,2.833
