Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_N2a
188,DOPE,1,1,9.784,2,9,2,173.1333333,0.215,0.721666667,8,0.199600798,60,0.497512438,4.682
189,DOPE,1,1,9.784,2,9,2,183.6666667,0.260333333,-0.501666667,12,0.199600798,60,0.497512438,4.533
190,DOPE,1,1,9.784,2,9,2,166.6333333,0.219666667,-24.63333333,4,0.199600798,80,0.497512438,3.258
191,DOPE,1,1,9.784,2,9,2,137.6333333,0.164666667,-6.11,8,0.199600798,80,0.497512438,2.197
192,DOPE,1,1,9.784,2,9,2,158.8,0.225333333,-0.955,12,0.199600798,80,0.497512438,2.639
193,DOPE,1,1,9.784,2,9,2,577.6666667,0.252,-11.77666667,4,0.199600798,20,0.99009901,6.619
194,DOPE,1,1,9.784,2,9,2,562.7666667,0.344333333,-3.553333333,8,0.199600798,20,0.99009901,6.066
195,DOPE,1,1,9.784,2,9,2,288.1666667,0.316,-1.593,12,0.199600798,20,0.99009901,5.549
196,DOPE,1,1,9.784,2,9,2,240.3,0.260333333,-3.686666667,4,0.199600798,40,0.99009901,5.82
197,DOPE,1,1,9.784,2,9,2,191.7333333,0.264,0.269333333,8,0.199600798,40,0.99009901,5.124
198,DOPE,1,1,9.784,2,9,2,189.9666667,0.325666667,-2.24,12,0.199600798,40,0.99009901,5.394
199,DOPE,1,1,9.784,2,9,2,192.8,0.182,-3.663333333,4,0.199600798,60,0.99009901,5.347
200,DOPE,1,1,9.784,2,9,2,170.3,0.242,0.073,8,0.199600798,60,0.99009901,5.215
201,DOPE,1,1,9.784,2,9,2,181.6333333,0.328333333,-1.161666667,12,0.199600798,60,0.99009901,5.215
202,DOPE,1,1,9.784,2,9,2,172.9333333,0.206666667,-26.66666667,4,0.199600798,80,0.99009901,5.153
203,DOPE,1,1,9.784,2,9,2,148.0,0.187666667,-6.033333333,8,0.199600798,80,0.99009901,3.932
204,DOPE,1,1,9.784,2,9,2,162.5333333,0.193666667,-0.325333333,12,0.199600798,80,0.99009901,4.635
205,DOPE,1,1,9.784,2,9,2,650.7333333,0.484666667,-11.36666667,4,0.199600798,20,1.960784314,6.303
206,DOPE,1,1,9.784,2,9,2,403.2666667,0.629666667,-4.096666667,8,0.199600798,20,1.960784314,6.009
207,DOPE,1,1,9.784,2,9,2,475.3333333,0.162,-3.116666667,12,0.199600798,20,1.960784314,5.389
208,DOPE,1,1,9.784,2,9,2,191.8,0.206,-0.756333333,4,0.199600798,40,1.960784314,5.513
209,DOPE,1,1,9.784,2,9,2,170.0,0.294,0.3774,8,0.199600798,40,1.960784314,4.956
210,DOPE,1,1,9.784,2,9,2,307.4666667,0.557666667,-3.04,12,0.199600798,40,1.960784314,5.017
211,DOPE,1,1,9.784,2,9,2,189.0333333,0.220333333,-2.12,4,0.199600798,60,1.960784314,5.384
212,DOPE,1,1,9.784,2,9,2,155.4333333,0.233333333,1.195666667,8,0.199600798,60,1.960784314,4.949
213,DOPE,1,1,9.784,2,9,2,256.8,0.427666667,0.16,12,0.199600798,60,1.960784314,4.804
214,DOPE,1,1,9.784,2,9,2,202.3,0.256333333,-29.4,4,0.199600798,80,1.960784314,5.257
215,DOPE,1,1,9.784,2,9,2,135.8666667,0.173666667,-10.41,8,0.199600798,80,1.960784314,3.555
216,DOPE,1,1,9.784,2,9,2,163.5333333,0.229333333,-0.4925,12,0.199600798,80,1.960784314,4.025
217,DOPE,1,1,9.784,2,9,2,431.8,0.420666667,-9.42,4,0.199600798,20,9.090909091,6.997
