Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio,RLU_B16
216,DOPE,1,1,9.784,2,9,36,2,163.5333333,0.229333333,-0.4925,12,500,80,50,4.852
217,DOPE,1,1,9.784,2,9,36,2,431.8,0.420666667,-9.42,4,500,20,10,2.603
218,DOPE,1,1,9.784,2,9,36,2,465.9333333,0.358,-1.686666667,8,500,20,10,3.761
219,DOPE,1,1,9.784,2,9,36,2,599.5333333,0.522,-0.166206667,12,500,20,10,4.595
220,DOPE,1,1,9.784,2,9,36,2,197.5666667,0.262666667,-2.53,4,500,40,10,2.0
221,DOPE,1,1,9.784,2,9,36,2,199.4,0.327666667,2.476666667,8,500,40,10,3.481
222,DOPE,1,1,9.784,2,9,36,2,208.5,0.330666667,1.541666667,12,500,40,10,3.807
223,DOPE,1,1,9.784,2,9,36,2,193.9,0.197333333,-1.64,4,500,60,10,2.526
224,DOPE,1,1,9.784,2,9,36,2,159.3,0.201,2.77,8,500,60,10,2.674
225,DOPE,1,1,9.784,2,9,36,2,190.9666667,0.275,2.354,12,500,60,10,4.103
226,DOPE,1,1,9.784,2,9,36,2,166.8666667,0.266,-26.83333333,4,500,80,10,2.0
227,DOPE,1,1,9.784,2,9,36,2,146.8666667,0.208666667,5.42,8,500,80,10,3.57
228,DOPE,1,1,9.784,2,9,36,2,167.8,0.237,7.203333333,12,500,80,10,4.317
229,DOPE,1,1,9.784,2,9,36,2,287.7333333,0.327,2.916666667,4,500,20,1,3.296
230,DOPE,1,1,9.784,2,9,36,2,306.5333333,0.569,3.96,8,500,20,1,2.251
231,DOPE,1,1,9.784,2,9,36,2,473.2,0.17,5.006666667,12,500,20,1,2.603
232,DOPE,1,1,9.784,2,9,36,2,261.7,0.330333333,4.206666667,4,500,40,1,2.0
