,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta,RLU_ARPE19
238,239,DOPE,1,1,9.784,2,9,36,2,8,1,80,500,164.9666667,0.183666667,11.93333333,7.405
239,240,DOPE,1,1,9.784,2,9,36,2,12,1,80,500,171.5333333,0.187333333,8.72,7.815
240,241,DOPE,1,1,9.784,2,9,36,2,4,200,20,100,177.0333333,0.31,-4.186666667,7.561
242,243,DOPE,1,1,9.784,2,9,36,2,12,200,20,100,169.1333333,0.368333333,-2.373333333,5.966
243,244,DOPE,1,1,9.784,2,9,36,2,4,200,40,100,193.5,0.275333333,-1.616666667,7.285
244,245,DOPE,1,1,9.784,2,9,36,2,8,200,40,100,139.0,0.236666667,-1.976666667,7.834
245,246,DOPE,1,1,9.784,2,9,36,2,12,200,40,100,159.2333333,0.303666667,-2.136666667,7.23
246,247,DOPE,1,1,9.784,2,9,36,2,4,200,60,100,171.7,0.236333333,-0.094333333,8.1
247,248,DOPE,1,1,9.784,2,9,36,2,8,200,60,100,150.1333333,0.232,-1.95,7.413
248,249,DOPE,1,1,9.784,2,9,36,2,12,200,60,100,177.5333333,0.260666667,-2.43,6.436
249,250,DOPE,1,1,9.784,2,9,36,2,4,200,80,100,219.6333333,0.307666667,-15.26666667,4.812
250,251,DOPE,1,1,9.784,2,9,36,2,8,200,80,100,141.4666667,0.245666667,-3.21,4.489
251,252,DOPE,1,1,9.784,2,9,36,2,12,200,80,100,160.0333333,0.184333333,-4.51,5.226
252,253,DOPE,1,1,9.784,2,9,36,2,4,100,20,100,176.9333333,0.24,-4.66,6.535
253,254,DOPE,1,1,9.784,2,9,36,2,8,100,20,100,263.8333333,0.433333333,-6.34,5.541
255,256,DOPE,1,1,9.784,2,9,36,2,4,100,40,100,174.6666667,0.246333333,-3.043333333,5.361
256,257,DOPE,1,1,9.784,2,9,36,2,8,100,40,100,148.9333333,0.217333333,-0.049066667,5.663
257,258,DOPE,1,1,9.784,2,9,36,2,12,100,40,100,152.4666667,0.288333333,-1.993333333,6.91
258,259,DOPE,1,1,9.784,2,9,36,2,4,100,60,100,164.2,0.201666667,-2.476666667,4.635
259,260,DOPE,1,1,9.784,2,9,36,2,8,100,60,100,150.2666667,0.204333333,1.32,4.635
260,261,DOPE,1,1,9.784,2,9,36,2,12,100,60,100,191.8,0.244333333,-1.426666667,5.075
261,262,DOPE,1,1,9.784,2,9,36,2,4,100,80,100,241.5333333,0.267,-15.93333333,3.0
262,263,DOPE,1,1,9.784,2,9,36,2,8,100,80,100,148.0333333,0.21,-3.53,3.0
263,264,DOPE,1,1,9.784,2,9,36,2,12,100,80,100,155.5666667,0.167333333,-3.316666667,3.0
264,265,DOPE,1,1,9.784,2,9,36,2,4,50,20,100,153.8666667,0.203,-3.213333333,3.738
266,267,DOPE,1,1,9.784,2,9,36,2,12,50,20,100,263.9333333,0.412333333,-1.060666667,3.0
267,268,DOPE,1,1,9.784,2,9,36,2,4,50,40,100,170.0666667,0.220333333,-3.176666667,3.0
268,269,DOPE,1,1,9.784,2,9,36,2,8,50,40,100,158.3666667,0.279,-1.57,4.344
269,270,DOPE,1,1,9.784,2,9,36,2,12,50,40,100,130.9333333,0.215,0.963666667,3.989
270,271,DOPE,1,1,9.784,2,9,36,2,4,50,60,100,160.7333333,0.165333333,-3.816666667,3.638
271,272,DOPE,1,1,9.784,2,9,36,2,8,50,60,100,138.7333333,0.185333333,0.242266667,3.0
272,273,DOPE,1,1,9.784,2,9,36,2,12,50,60,100,152.2333333,0.245666667,-1.88,3.367
273,274,DOPE,1,1,9.784,2,9,36,2,4,50,80,100,189.0,0.199,-15.9,4.234
274,275,DOPE,1,1,9.784,2,9,36,2,8,50,80,100,147.2,0.241333333,-5.523333333,3.0
275,276,DOPE,1,1,9.784,2,9,36,2,12,50,80,100,148.5333333,0.207,-2.94,5.464
278,279,DOPE,1,1,9.784,2,9,36,2,12,10,20,100,168.1666667,0.428,-0.284166667,5.268
279,280,DOPE,1,1,9.784,2,9,36,2,4,10,40,100,164.0666667,0.157333333,-0.60825,6.444
281,282,DOPE,1,1,9.784,2,9,36,2,12,10,40,100,161.1333333,0.330333333,0.813333333,6.945
282,283,DOPE,1,1,9.784,2,9,36,2,4,10,60,100,179.6666667,0.263333333,1.84,7.076
283,284,DOPE,1,1,9.784,2,9,36,2,8,10,60,100,153.8,0.197333333,-0.397333333,6.219
284,285,DOPE,1,1,9.784,2,9,36,2,12,10,60,100,150.7333333,0.228333333,-0.254666667,5.517
285,286,DOPE,1,1,9.784,2,9,36,2,4,10,80,100,222.5666667,0.208,-12.13333333,6.868
286,287,DOPE,1,1,9.784,2,9,36,2,8,10,80,100,166.1666667,0.209333333,-6.06,5.953
287,288,DOPE,1,1,9.784,2,9,36,2,12,10,80,100,198.6666667,0.219,-0.9158,5.606
288,289,DOPE,1,1,9.784,2,9,36,2,4,1,20,100,236.7666667,0.272333333,-3.646666667,7.869
289,290,DOPE,1,1,9.784,2,9,36,2,8,1,20,100,211.3666667,0.439666667,1.916666667,6.99
290,291,DOPE,1,1,9.784,2,9,36,2,12,1,20,100,182.6,0.281,0.651,6.194
291,292,DOPE,1,1,9.784,2,9,36,2,4,1,40,100,179.9,0.168333333,-1.32,6.116
292,293,DOPE,1,1,9.784,2,9,36,2,8,1,40,100,196.2,0.148333333,2.876666667,5.914
294,295,DOPE,1,1,9.784,2,9,36,2,4,1,60,100,197.7,0.18,0.54,6.279
295,296,DOPE,1,1,9.784,2,9,36,2,8,1,60,100,148.4666667,0.206666667,4.106666667,5.252
296,297,DOPE,1,1,9.784,2,9,36,2,12,1,60,100,171.6333333,0.198666667,1.651,6.363
297,298,DOPE,1,1,9.784,2,9,36,2,4,1,80,100,253.0666667,0.335333333,-0.074666667,7.005
298,299,DOPE,1,1,9.784,2,9,36,2,8,1,80,100,186.6333333,0.255,-5.6,6.702
299,300,DOPE,1,1,9.784,2,9,36,2,12,1,80,100,150.0333333,0.178,6.683333333,6.506
303,304,DOPE,1,1,9.784,2,9,36,2,4,200,40,10,170.1333333,0.409333333,-5.413333333,3.0
304,305,DOPE,1,1,9.784,2,9,36,2,8,200,40,10,176.6666667,0.290333333,-1.593333333,3.0
306,307,DOPE,1,1,9.784,2,9,36,2,4,200,60,10,153.6333333,0.193,-3.223333333,3.0
307,308,DOPE,1,1,9.784,2,9,36,2,8,200,60,10,153.0333333,0.370333333,-1.48,3.0
308,309,DOPE,1,1,9.784,2,9,36,2,12,200,60,10,149.9,0.288333333,-2.086666667,3.0
309,310,DOPE,1,1,9.784,2,9,36,2,4,200,80,10,133.1,0.144333333,-3.64,3.0
310,311,DOPE,1,1,9.784,2,9,36,2,8,200,80,10,138.3666667,0.247666667,-33.9,3.0
311,312,DOPE,1,1,9.784,2,9,36,2,12,200,80,10,136.2333333,0.169,-2.783333333,3.0
315,316,DOPE,1,1,9.784,2,9,36,2,4,100,40,10,137.9333333,0.216666667,-6.893333333,3.0
318,319,DOPE,1,1,9.784,2,9,36,2,4,100,60,10,137.5666667,0.191333333,-3.093333333,3.0
319,320,DOPE,1,1,9.784,2,9,36,2,8,100,60,10,115.6333333,0.217,-2.686666667,3.0
320,321,DOPE,1,1,9.784,2,9,36,2,12,100,60,10,207.0666667,0.332333333,-1.29,3.0
